accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
MK801377.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.003955183853202694,False,
MK801376.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.002884064311489169,False,
MK801375.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.007521760248423552,False,
MK801374.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0023790662296079928,False,
MK801373.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.001627781431162271,False,
MK801372.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.002864238730342406,False,
MK801371.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.005779261884744879,False,
MK801370.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.0016172513005095457,False,
MK801369.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.004617175028543823,False,
MK801368.1,ST2,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.0041308193925631755,False,
MK801367.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.002301056455049784,False,
MK801366.1,ST3,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.000806885500097344,False,
MK801365.1,ST2,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,52,94,202,accepted,True,Common in humans; urticaria association,0.023697026161970985,True,minority cluster (94)
MK801364.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
MK801363.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801362.1,ST3,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0024232654360848154,False,
MK801361.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
MK801360.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MK801359.1,ST3,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0016146400208258173,False,
MK801358.1,ST1,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
MK801357.1,ST15,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,7,7,9,accepted,False,Non-human primates,0.0016286651351308467,False,
MK801356.1,ST5,Sus scrofa domesticus,Unknown,Germany,Unknown,feces,Ion Torrent,Unknown,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,-0.0,False,
MH358367.1,ST12,Bos grunniens,Unknown,China,Unknown,feces,Sanger,high,2840,43,71,126,accepted,True,Non-human primates; occasional in humans,0.07460195310071775,True,d_medoid=0.0746 > 0.0621; minority cluster (71)
MH358363.1,ST10,Bos grunniens,Unknown,China,Unknown,feces,Sanger,high,2840,31,42,55,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0542252895262302,True,minority cluster (42)
MH358361.1,ST14,Bos grunniens,Unknown,China,Unknown,feces,Sanger,high,2840,49,89,186,accepted,True,Cattle/artiodactyls; rare in humans,0.042504290324183146,True,minority cluster (89)
MH127500.1,ST4,Ruttus novercious,Unknown,"Japan: Hyogo, Nishinomiya",2012,Unknown,Sanger,Unknown,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.005666513733337126,False,
MH127499.1,ST4,Ruttus novercious,Unknown,"Japan: Hyogo, Nishinomiya",2012,Unknown,Sanger,Unknown,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.0048543858792131096,False,
MH127498.1,ST4,Ruttus novercious,Unknown,"Japan: Osaka, Tennouji",2012,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.005666513733337126,False,
MH127491.1,ST4,Ruttus novercious,Unknown,"Japan: Osaka, Tennouji",2012,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.005666513733337126,False,
MH127488.1,ST4,Rattus exulans,Unknown,Indonesia: Sumba Island,Aug-2012,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
MH127487.1,ST4,Rattus exulans,Unknown,Indonesia: Sumba Island,Aug-2011,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
MH127485.1,ST4,Rattus exulans,Unknown,Indonesia: Sumba Island,Aug-2011,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
MH127480.1,ST4,Rattus exulans,Unknown,Indonesia: Sumba Island,Aug-2009,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
MH127479.1,ST4,Rattus exulans,Unknown,Indonesia: Sumba Island,Aug-2009,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
MH127478.1,ST4,Rattus exulans,Unknown,Indonesia: Sumba Island,Aug-2009,Unknown,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
KY610205.1,ST1,Sus scrofa,Unknown,Philippines,Unknown,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
KY610204.1,ST2,Sus scrofa,Unknown,Philippines,Unknown,Unknown,Sanger,high,2840,54,96,204,accepted,True,Common in humans; urticaria association,0.014911027915371699,True,minority cluster (96)
KX618192.1,ST3,Homo sapiens,Unknown,Singapore,18-Feb-2016,stool from an asymptomatic patient during health screening,Unknown,Unknown,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007966012432375673,False,
KY290430.1,ST3,Unknown,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.02548888764623624,False,
KY290429.1,ST3,Unknown,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.026157838685084797,False,
KY290428.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.027163462720928837,False,
KY290427.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.027045675426823446,False,
KY290407.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.02550986444319349,False,
KY290406.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.024653000125886077,False,
KY290403.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.03071053388166308,False,
KY290402.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.03071053388166308,False,
KY290401.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.023818043179087856,False,
KY290400.1,ST3,Unknown,unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.023818043179087856,False,
KX234639.1,ST10,bird,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.006027586978231899,False,
KX234638.1,ST10,Capra hircus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.004026855311293573,False,
KX234634.1,ST4,Canis lupus familiaris,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.009534944950301239,False,
KX234625.1,ST3,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.025271051706217743,False,
KX234621.1,ST7,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,17,22,30,accepted,True,Primarily birds/poultry,0.021726960152040568,False,
KX234619.1,ST7,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,17,22,30,accepted,True,Primarily birds/poultry,0.022360697032819746,False,
KX234618.1,ST4,Canis lupus familiaris,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.011697897610250946,False,
KX234616.1,ST10,Canis lupus familiaris,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,-0.0,False,
KX234613.1,ST8,Canis lupus familiaris,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.005089078050095595,False,
KX234612.1,ST8,Canis lupus familiaris,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.003994683212005571,False,
KX234611.1,ST3,Canis lupus familiaris,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.027045675426823446,False,
KX234607.1,ST7,Anas platyrhynchos,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.003602528691795161,False,
KX234594.1,ST7,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0030226741165659413,False,
KX234593.1,ST7,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.005558522002231601,False,
KX352032.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.029741506207489856,False,
KX352030.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.028799349700902015,False,
KX352028.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,82,accepted,True,Most prevalent globally; IBS-D association,0.03648135541675937,False,
KX352027.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.030778640523835513,False,
KX352026.1,ST4,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.010850098813315032,False,
KX352025.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.02949441719013403,False,
KX352024.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.02652210055605171,False,
KX352018.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.027958974174104954,False,
KX352013.1,ST3,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.026536291515275815,False,
KX352006.1,ST10,Unknown,Unknown,Malaysia,Unknown,water,Sanger,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.004062848505314755,False,
KX351987.1,ST4,Homo sapiens,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.012062293314965672,False,
KX351986.1,ST3,Homo sapiens,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.028950962772609036,False,
KX351985.1,ST3,Homo sapiens,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.030839888480624564,False,
KX351984.1,ST3,Homo sapiens,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.02696292842084257,False,
KX351983.1,ST3,Homo sapiens,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,83,accepted,True,Most prevalent globally; IBS-D association,0.032451715092438,False,
KX351982.1,ST3,Homo sapiens,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.03172279027509127,False,
KX234637.1,ST4,Capra hircus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.009213875095933268,False,
KX234624.1,ST3,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,38,57,80,accepted,True,Most prevalent globally; IBS-D association,0.02966632904887287,False,
KX234601.1,ST8,Capra hircus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,34,51,71,accepted,True,Non-human primates; rare in humans,0.005621011321695291,False,
KX234596.1,ST9,Gallus gallus,Unknown,Malaysia,Unknown,feces,Sanger,high,2840,12,14,19,accepted,True,Human-specific; rare,0.0016741078379555875,False,
JQ974945.1,ST8,Pan troglodytes,Unknown,Czech Republic: ZOO Liberec,Unknown,feces,Unknown,high,2840,34,51,71,accepted,True,Non-human primates; rare in humans,-0.0,False,
KF447173.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0005545286759089746,False,
KF447172.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.009504413440324853,False,
KF447171.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.008941983717679609,False,
KF447170.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0011094676579418777,False,
KF447169.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,30,accepted,True,Primarily birds/poultry,0.010067265249105496,False,
KF447168.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0038903384745861617,False,
KF447167.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,31,accepted,True,Primarily birds/poultry,0.011175472180983491,False,
KF447166.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.00614643037720286,False,
KF447165.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.004450226296311626,False,
KF447164.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.005579345053261825,False,
KF447163.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,-0.0,False,
KF447162.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0067002120655444974,False,
KF447161.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.008927016309211042,False,
KF447160.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0022205789722741,False,
KF447159.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.00950973024139537,False,
KF447158.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.010636491016705085,False,
KF447157.1,ST7,Unknown,unknown,Unknown,Unknown,Unknown,Sanger,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.0072734624510962,False,
KC138681.1,ST9,Homo sapiens,host_qualifier,Unknown,Unknown,feces,Sanger,high,2840,12,14,19,accepted,True,Human-specific; rare,-0.0,False,
KC148211.1,ST15,Hylobates lar,Unknown,Unknown,Unknown,Gibbon,Sanger,high,2840,7,7,9,accepted,False,Non-human primates,0.0021664575454174205,False,
KC148210.1,ST15,Camelus dromedarius,Unknown,Unknown,Unknown,Camelus dromedarius,Sanger,high,2840,7,7,9,accepted,False,Non-human primates,0.002155948304583352,False,
KC148209.1,ST13,Tragulus javanicus,Unknown,Unknown,Unknown,Tragulus javanicus,Sanger,high,2840,48,85,176,accepted,True,Rare; occasional human reports,0.0029615043415622483,False,
KC148208.1,ST17,Ctenodactylus gundi,Unknown,Unknown,Unknown,Ctenodactylus gundi,Sanger,high,2840,4,4,5,accepted,False,Rodents; cattle,0.11021279645310761,False,
KC148207.1,ST10,Camelus dromedarius,Unknown,Unknown,Unknown,Camelus dromedarius,Sanger,high,2840,31,44,61,accepted,True,Artiodactyls; rare human reports; now split ST42-44,0.0008036432593198368,False,
KC148206.1,ST14,Unknown,Unknown,Unknown,Unknown,Ovis orientalis musimon,Sanger,high,2840,49,89,188,accepted,True,Cattle/artiodactyls; rare in humans,0.027443904902765562,True,minority cluster (89)
KC148205.1,ST14,Bos taurus,Unknown,Unknown,Unknown,Bos taurus,Sanger,high,2840,49,88,181,accepted,True,Cattle/artiodactyls; rare in humans,0.002828590944716746,False,
JQ665872.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02303251761402947,False,
JQ665869.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.023455344560325747,False,
JQ665868.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02624763152782216,False,
JQ665867.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02312515632719415,False,
JQ665866.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0029910308834666588,False,
JQ665865.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
JQ665864.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
JQ665863.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
JQ665862.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
JQ665860.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.002997006985036482,False,
JQ665858.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001974984683070493,False,
JQ665857.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0019769368942424404,False,
JQ665856.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0019828167530474344,False,
JQ665853.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0010006672598524577,False,
JQ665851.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.030276563046859876,False,
JQ665850.1,ST6,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,12,12,15,accepted,True,Primarily birds/poultry,-0.0,False,
JQ665849.1,ST6,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.002997006985036482,False,
JQ665848.1,ST2,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.002467107487799068,False,
JQ665847.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.024367625568340788,False,
JQ665846.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.02312515632719415,False,
JQ665844.1,ST1,Homo sapiens,host_qualifier,Thailand,Nov-2008,Unknown,Sanger,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
HQ909891.1,ST3,Colobus abyssinicus,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,38,57,84,accepted,True,Most prevalent globally; IBS-D association,0.034745667146344236,False,
HQ909890.1,ST3,Papio sp.,Unknown,Unknown,Unknown,Unknown,Unknown,high,2840,38,58,85,accepted,True,Most prevalent globally; IBS-D association,0.0213362309681379,False,
JN682513.1,ST4,Homo sapiens,Unknown,USA,Unknown,Unknown,Unknown,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
GU256937.1,ST12,western grey kangaroo,Unknown,Australia,Unknown,Unknown,Unknown,high,2840,42,65,114,accepted,True,Non-human primates; occasional in humans,0.10239517620324076,True,d_medoid=0.1024 > 0.0621; minority cluster (65)
GU256936.1,ST12,western grey kangaroo,Unknown,Australia,Unknown,Unknown,Unknown,high,2840,42,65,115,accepted,True,Non-human primates; occasional in humans,0.1060587405373714,True,d_medoid=0.1061 > 0.0621; minority cluster (65)
GU256935.1,ST13,quokka,host_qualifier,Australia,Unknown,Unknown,Unknown,high,2840,48,85,176,accepted,True,Rare; occasional human reports,-0.0,False,
GU256913.1,ST12,giraffe,host_qualifier,Belgium,Unknown,Unknown,Unknown,high,2840,42,66,117,accepted,True,Non-human primates; occasional in humans,0.08338984452587928,True,d_medoid=0.0834 > 0.0621; minority cluster (66)
GU256911.1,ST12,giraffe,host_qualifier,Belgium,Unknown,Unknown,Unknown,high,2840,42,66,116,accepted,True,Non-human primates; occasional in humans,0.07348530627015284,True,d_medoid=0.0735 > 0.0621; minority cluster (66)
GU256905.1,ST12,giraffe,host_qualifier,Australia,Unknown,Unknown,Unknown,high,2840,42,66,116,accepted,True,Non-human primates; occasional in humans,0.0643251163180688,True,d_medoid=0.0643 > 0.0621; minority cluster (66)
GU256904.1,ST11,elephant,host_qualifier,Australia,Unknown,Unknown,Unknown,high,2840,55,97,205,accepted,False,Non-human primates,0.1174014482612258,True,d_medoid=0.1174 > 0.0200; minority cluster (97)
PV866592.1,ST1,Red-crowned Cranes (Grus japonensis),Unknown,China,2025,Unknown,Sanger,low,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.026089587064061656,False,
PV866591.1,ST1,Red-crowned Cranes (Grus japonensis),Unknown,China,2025,Unknown,Sanger,low,2840,59,107,228,accepted,True,Most prevalent globally; IBS association,0.03224136454806604,False,
PV866590.1,ST1,Red-crowned Cranes (Grus japonensis),Unknown,China,2025,Unknown,Sanger,low,2840,59,107,227,accepted,True,Most prevalent globally; IBS association,0.028134578106093912,False,
PV263255.1,ST3,Homo sapiens,organism,Iraq: Erbil,Sep-2022,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007966012432375673,False,
PV263254.1,ST3,Homo sapiens,organism,Iraq: Erbil,Jul-2021,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0015940494842351083,False,
PV263253.1,ST3,Homo sapiens,organism,Iraq: Erbil,May-2020,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.002392346526075112,False,
PV263252.1,ST3,Homo sapiens,organism,Iraq: Erbil,May-2019,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0015940494842351083,False,
PV263251.1,ST3,Homo sapiens,organism,Iraq: Erbil,Apr-2018,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007966012432375673,False,
PV263250.1,ST3,Homo sapiens,organism,Iraq: Erbil,Apr-2017,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007966012432375673,False,
PV263249.1,ST3,Homo sapiens,organism,Iraq: Erbil,Feb-2002,stool,Sanger,low,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,-0.0,False,
MK880048.1,ST6,Saltator similis,host_qualifier,Brazil,Unknown,feces,Sanger,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.0040554340109117595,False,
OR603934.1,ST13,Dugong dugon,host_qualifier,Qatar,Unknown,Unknown,Sanger,low,2840,1,1,1,accepted,True,Rare; occasional human reports,0.29062778747524415,True,d_medoid=0.2906 > 0.1247
OR603933.1,ST13,Dugong dugon,host_qualifier,Qatar,Unknown,Unknown,Sanger,low,2840,1,1,1,accepted,True,Rare; occasional human reports,0.2977158138301918,True,d_medoid=0.2977 > 0.1247
OR117713.1,ST24,Ovis aries,Unknown,Portugal,Unknown,feces,ONT,high,2840,49,89,184,tentative,False,Cattle (USA),0.01656579150996811,False,
