accession,length,host,definition,note,isolation_source,host_raw,ref_titles,record_categories,record_evidence,study_categories,study_evidence,subtype,st_source
MN526752.1,609,western lowland gorilla,"Blastocystis sp. clone 5 small subunit ribosomal RNA gene, partial sequence",subtype: 2,stool,western lowland gorilla,Asymptomatic polyparasitism in the gut: co - occurrence of Blastocystis subtypes and other microbial parasites in zoo animals; Direct Submission,,,healthy_control,healthy_control=Asymptomatic,ST2,barcode_mapping
MN526751.1,609,western lowland gorilla,"Blastocystis sp. clone 4 small subunit ribosomal RNA gene, partial sequence",subtype: 2,stool,western lowland gorilla,Asymptomatic polyparasitism in the gut: co - occurrence of Blastocystis subtypes and other microbial parasites in zoo animals; Direct Submission,,,healthy_control,healthy_control=Asymptomatic,ST2,barcode_mapping
MN526750.1,473,western lowland gorilla,"Blastocystis sp. clone 3 small subunit ribosomal RNA gene, partial sequence",,stool,western lowland gorilla,Asymptomatic polyparasitism in the gut: co - occurrence of Blastocystis subtypes and other microbial parasites in zoo animals; Direct Submission,,,healthy_control,healthy_control=Asymptomatic,ST3,barcode_mapping
MN526749.1,473,western lowland gorilla,"Blastocystis sp. clone 2 small subunit ribosomal RNA gene, partial sequence",subtype: 3,stool,western lowland gorilla,Asymptomatic polyparasitism in the gut: co - occurrence of Blastocystis subtypes and other microbial parasites in zoo animals; Direct Submission,,,healthy_control,healthy_control=Asymptomatic,ST3,barcode_mapping
MN526748.1,605,western lowland gorilla,"Blastocystis sp. clone 1 small subunit ribosomal RNA gene, partial sequence",subtype: 3,stool,western lowland gorilla,Asymptomatic polyparasitism in the gut: co - occurrence of Blastocystis subtypes and other microbial parasites in zoo animals; Direct Submission,,,healthy_control,healthy_control=Asymptomatic,ST3,barcode_mapping
MK874822.1,480,Homo sapiens,"Blastocystis sp. isolate 50.4 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874821.1,479,Homo sapiens,"Blastocystis sp. isolate 8.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874820.1,482,Homo sapiens,"Blastocystis sp. isolate 117 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874819.1,480,Homo sapiens,"Blastocystis sp. isolate 47.3 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874818.1,479,Homo sapiens,"Blastocystis sp. isolate 2.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874817.1,480,Homo sapiens,"Blastocystis sp. isolate 47.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874816.1,480,Homo sapiens,"Blastocystis sp. isolate 50 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874815.1,479,Homo sapiens,"Blastocystis sp. isolate 78 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874814.1,479,Homo sapiens,"Blastocystis sp. isolate 4.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874813.1,480,Homo sapiens,"Blastocystis sp. isolate 35.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874812.1,482,Homo sapiens,"Blastocystis sp. isolate 22.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874811.1,479,Homo sapiens,"Blastocystis sp. isolate 164 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874810.1,480,Homo sapiens,"Blastocystis sp. isolate 79 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874809.1,479,Homo sapiens,"Blastocystis sp. isolate 177.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874808.1,479,Homo sapiens,"Blastocystis sp. isolate 46.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874807.1,480,Homo sapiens,"Blastocystis sp. isolate 44 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874806.1,479,Homo sapiens,"Blastocystis sp. isolate 33 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874805.1,479,Homo sapiens,"Blastocystis sp. isolate 177.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874804.1,479,Homo sapiens,"Blastocystis sp. isolate 43 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874803.1,479,Homo sapiens,"Blastocystis sp. isolate 46.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874802.1,480,Homo sapiens,"Blastocystis sp. isolate 35.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874801.1,482,Homo sapiens,"Blastocystis sp. isolate 36 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874800.1,482,Homo sapiens,"Blastocystis sp. isolate 92 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874799.1,482,Homo sapiens,"Blastocystis sp. isolate 97 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874798.1,480,Homo sapiens,"Blastocystis sp. isolate 42 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874797.1,480,Homo sapiens,"Blastocystis sp. isolate 83 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874796.1,480,Homo sapiens,"Blastocystis sp. isolate 49.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874795.1,480,Homo sapiens,"Blastocystis sp. isolate 22.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874794.1,479,Homo sapiens,"Blastocystis sp. isolate 2.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874793.1,479,Homo sapiens,"Blastocystis sp. isolate 32 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874792.1,479,Homo sapiens,"Blastocystis sp. isolate 8.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874791.1,482,Homo sapiens,"Blastocystis sp. isolate 39 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874790.1,479,Homo sapiens,"Blastocystis sp. isolate 4.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874789.1,480,Homo sapiens,"Blastocystis sp. isolate 47 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874788.1,482,Homo sapiens,"Blastocystis sp. isolate 130 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874787.1,480,Homo sapiens,"Blastocystis sp. isolate 41 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874786.1,480,Homo sapiens,"Blastocystis sp. isolate 50.1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST1,barcode_mapping
MK874785.1,479,Homo sapiens,"Blastocystis sp. isolate 40 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST2,barcode_mapping
MK874784.1,482,Homo sapiens,"Blastocystis sp. isolate 49.2 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874783.1,482,Homo sapiens,"Blastocystis sp. isolate 25 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874782.1,482,Homo sapiens,"Blastocystis sp. isolate 76 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874781.1,482,Homo sapiens,"Blastocystis sp. isolate 13 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK874780.1,482,Homo sapiens,"Blastocystis sp. isolate 1 small subunit ribosomal RNA gene, partial sequence",,,Homo sapiens,Use of next-generation amplicon sequencing to study Blastocystis genetic diversity in a rural human population from Mexico; Direct Submission,,,,,ST3,barcode_mapping
MK251248.1,601,Rodent,"Blastocystis sp. isolate FCP1 small subunit ribosomal RNA gene, partial sequence",,stool,Rodent,Molecular genotyping of Blastocystis spp. in wild mammals from Mexico; Direct Submission,,,,,ST17,barcode_mapping
MK251247.1,601,Rodent,"Blastocystis sp. isolate FCP3 small subunit ribosomal RNA gene, partial sequence",,stool,Rodent,Molecular genotyping of Blastocystis spp. in wild mammals from Mexico; Direct Submission,,,,,ST17,barcode_mapping
MK251246.1,590,Rodent,"Blastocystis sp. isolate FCP4 small subunit ribosomal RNA gene, partial sequence",,stool,Rodent,Molecular genotyping of Blastocystis spp. in wild mammals from Mexico; Direct Submission,,,,,ST4,barcode_mapping
MK251245.1,593,Sturnira lilium,"Blastocystis sp. isolate MFLO44 small subunit ribosomal RNA gene, partial sequence",,stool,Sturnira lilium,Molecular genotyping of Blastocystis spp. in wild mammals from Mexico; Direct Submission,,,,,ST36,barcode_mapping
MK251244.1,560,Philander opossum,"Blastocystis sp. isolate FLO2 small subunit ribosomal RNA gene, partial sequence",,stool,Philander opossum,Molecular genotyping of Blastocystis spp. in wild mammals from Mexico; Direct Submission,,,,,ST36,barcode_mapping
MK251243.1,600,Rodent,"Blastocystis sp. isolate FCP5 small subunit ribosomal RNA gene, partial sequence",,stool,Rodent,Molecular genotyping of Blastocystis spp. in wild mammals from Mexico; Direct Submission,,,,,ST37,barcode_mapping
MN718159.1,605,Unknown,"Blastocystis sp. isolate 55R small subunit ribosomal RNA gene, partial sequence",,,,Sequence from renal candidate; Direct Submission,,,,,ST2,barcode_mapping
MN686283.1,602,Unknown,"Blastocystis sp. isolate 47F small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN686282.1,602,Unknown,"Blastocystis sp. isolate 33F small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN686281.1,602,Unknown,"Blastocystis sp. isolate 32F small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN686280.1,606,Unknown,"Blastocystis sp. isolate 22F small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST2,barcode_mapping
MN686264.1,607,Unknown,"Blastocystis sp. isolate 26R small subunit ribosomal RNA gene, partial sequence",,,,Sequence of transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MK010978.1,573,Gallus gallus,"Blastocystis sp. isolate AH-C5 small subunit ribosomal RNA gene, partial sequence",,feces,chicken,First molecular epidemiology survey of Blastocystis sp and Tetratrichomonas gallinarum infection in free-range chickens in China; Direct Submission,,,,,ST7,barcode_mapping
MK010977.1,509,Gallus gallus,"Blastocystis sp. isolate AH-C4 small subunit ribosomal RNA gene, partial sequence",,feces,chicken,First molecular epidemiology survey of Blastocystis sp and Tetratrichomonas gallinarum infection in free-range chickens in China; Direct Submission,,,,,,
MK010976.1,576,Gallus gallus,"Blastocystis sp. isolate AH-C3 small subunit ribosomal RNA gene, partial sequence",,feces,chicken,First molecular epidemiology survey of Blastocystis sp and Tetratrichomonas gallinarum infection in free-range chickens in China; Direct Submission,,,,,,
MK010975.1,579,Gallus gallus,"Blastocystis sp. isolate AH-C2 small subunit ribosomal RNA gene, partial sequence",,feces,chicken,First molecular epidemiology survey of Blastocystis sp and Tetratrichomonas gallinarum infection in free-range chickens in China; Direct Submission,,,,,ST7,barcode_mapping
MK010974.1,595,Gallus gallus,"Blastocystis sp. isolate AH-C1 small subunit ribosomal RNA gene, partial sequence",,feces,chicken,First molecular epidemiology survey of Blastocystis sp and Tetratrichomonas gallinarum infection in free-range chickens in China; Direct Submission,,,,,ST6,barcode_mapping
MN658583.1,589,Unknown,"Blastocystis sp. isolate 48R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658582.1,606,Unknown,"Blastocystis sp. isolate 42R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658581.1,618,Unknown,"Blastocystis sp. isolate 35R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST7,barcode_mapping
MN658580.1,582,Unknown,"Blastocystis sp. isolate 31R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,,
MN658579.1,607,Unknown,"Blastocystis sp. isolate 30R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658578.1,537,Unknown,"Blastocystis sp. isolate 29R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658577.1,602,Unknown,"Blastocystis sp. isolate 27R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658576.1,608,Unknown,"Blastocystis sp. isolate 22R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658575.1,606,Unknown,"Blastocystis sp. isolate 11R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658574.1,599,Unknown,"Blastocystis sp. isolate 10R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658573.1,601,Unknown,"Blastocystis sp. isolate 9R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658572.1,602,Unknown,"Blastocystis sp. isolate 7R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658571.1,602,Unknown,"Blastocystis sp. isolate 4R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658570.1,599,Unknown,"Blastocystis sp. isolate 1R small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658569.1,587,Unknown,"Blastocystis sp. isolate 46M small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MN658568.1,607,Unknown,"Blastocystis sp. isolate 36M small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST1,barcode_mapping
MN658567.1,603,Unknown,"Blastocystis sp. isolate 6M small subunit ribosomal RNA gene, partial sequence",,,,Sequences transplant candidates; Direct Submission,,,immunocompromised,immunocompromised=transplant,ST3,barcode_mapping
MK587504.1,453,Gennetta gennetta,"Blastocystis sp. isolate 98 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Gennetta gennetta,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MK587503.1,414,Vulpes vulpes,"Blastocystis sp. isolate 113 small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MK587502.1,480,Mustela putorius,"Blastocystis sp. isolate 145 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,feces,Mustela putorius,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST14,barcode_mapping
MK587501.1,479,Vulpes vulpes,"Blastocystis sp. isolate 156d small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST2,barcode_mapping
MK587500.1,480,Vulpes vulpes,"Blastocystis sp. isolate 156c small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST1,barcode_mapping
MK587499.1,480,Vulpes vulpes,"Blastocystis sp. isolate 127d small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,novel_11,barcode_mapping
MK587498.1,480,Vulpes vulpes,"Blastocystis sp. isolate 127c small subunit ribosomal RNA gene, partial sequence",subtype: ST1,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST1,barcode_mapping
MK587497.1,496,Vulpes vulpes,"Blastocystis sp. isolate 113c small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MK587496.1,479,Vulpes vulpes,"Blastocystis sp. isolate 127b small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST2,barcode_mapping
MK587495.1,480,Vulpes vulpes,"Blastocystis sp. isolate 123 small subunit ribosomal RNA gene, partial sequence",subtype: ST14,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST14,barcode_mapping
MK587494.1,479,Vulpes vulpes,"Blastocystis sp. isolate 127a small subunit ribosomal RNA gene, partial sequence",subtype: ST2,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST2,barcode_mapping
MK587493.1,482,Vulpes vulpes,"Blastocystis sp. isolate 127e small subunit ribosomal RNA gene, partial sequence",subtype: ST4,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST4,barcode_mapping
MK587492.1,492,Vulpes vulpes,"Blastocystis sp. isolate 156b small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MK587491.1,489,Vulpes vulpes,"Blastocystis sp. isolate 113b small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MK587490.1,492,Vulpes vulpes,"Blastocystis sp. isolate 156a small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MK587489.1,492,Vulpes vulpes,"Blastocystis sp. isolate 113a small subunit ribosomal RNA gene, partial sequence",subtype: ST7,feces,Vulpes vulpes,Blastocystis sp. Subtype Diversity in Wild Carnivore Species from Spain; Direct Submission,,,,,ST7,barcode_mapping
MH092234.1,516,Unknown,"Blastocystis sp. isolate B9 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST3,barcode_mapping
MH092233.1,527,Unknown,"Blastocystis sp. isolate B8 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST3,barcode_mapping
MH092232.1,524,Unknown,"Blastocystis sp. isolate B7 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST3,barcode_mapping
MH092231.1,531,Unknown,"Blastocystis sp. isolate B6 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST3,barcode_mapping
MH092230.1,513,Unknown,"Blastocystis sp. isolate B5 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST1,barcode_mapping
MH092229.1,438,Unknown,"Blastocystis sp. isolate B4 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,,
MH092228.1,512,Unknown,"Blastocystis sp. isolate B3 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST3,barcode_mapping
MH092227.1,413,Unknown,"Blastocystis sp. isolate B2 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST1,barcode_mapping
MH092226.1,525,Unknown,"Blastocystis sp. isolate B1 small subunit ribosomal RNA gene, partial sequence",,Untreated water,,Association of Waterborne Parasites with the Detection of Heavy Metals and Physicochemical Parameters in Malaysian Water Bodies; Direct Submission,,,,,ST3,barcode_mapping
MN606136.1,316,Bos taurus,"Blastocystis sp. isolate socah 10 small subunit ribosomal RNA gene, partial sequence",subtype: 10,"Bangkalan, Madura",cattle,Direct Submission,,,,,ST23,barcode_mapping
MN606135.1,316,Bos taurus,"Blastocystis sp. isolate socah 9 small subunit ribosomal RNA gene, partial sequence",subtype: 10,"Bangkalan, Madura",cattle,Direct Submission,,,,,ST44,barcode_mapping
MN606134.1,316,Bos taurus,"Blastocystis sp. isolate socah 8 small subunit ribosomal RNA gene, partial sequence",subtype: 10,"Bangkalan, Madura",cattle,Direct Submission,,,,,ST23,barcode_mapping
MN606133.1,316,Bos taurus,"Blastocystis sp. isolate socah 7 small subunit ribosomal RNA gene, partial sequence",subtype: 10,"Bangkalan, Madura",cattle,Direct Submission,,,,,ST44,barcode_mapping
MN606132.1,316,Bos taurus,"Blastocystis sp. isolate socah 6 small subunit ribosomal RNA gene, partial sequence",subtype: 10,"Bangkalan, Madura",cattle,Direct Submission,,,,,ST23,barcode_mapping
